Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Note	Open Position Quantity	Close Position Quantity	Duration	Commission (C)	High Price While Open	Low Price While Open	Exit Efficiency	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Total Efficiency	Account	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
NQH26	Long	2025-12-18  10:24:05.316	2025-12-18  11:14:11.040	25263.75	25390.00	1	8	8	2520.80	33383.20	AT_NQ_TM(D-R-2+last50)	8	6	00:50:05	4.20	25412.50	25257.00	9.9%	4.0%	35524.20	38150.00	-1380.00	2975.00	-135.00	6.4%	V_sim16	33383.20	-2788.20	36171.40	-3230.60
NQH26	Long	2025-12-18  10:55:13.121	2025-12-18  11:14:11.040	25383.50	25390.00	1	8	6	125.80	33509.00	AT_NQ_TM(D-R-2+last50)	8	5	00:18:57	4.20	25412.50	25360.00	4.1%	0.0%	35650.00	38305.00	-1525.00	580.00	-470.00	0.3%	V_sim16	33509.00	-2788.20	36297.20	-3230.60
NQH26	Long	2025-12-18  10:55:13.121	2025-12-18  11:36:49.090	25383.50	25398.00	1	8	7	285.80	33794.80	AT_NQ_TM(D-R-2+last50)	8	7	00:41:35	4.20	25412.50	25360.00	5.6%	0.0%	35935.80	38885.00	-1995.00	580.00	-470.00	0.7%	V_sim16	33794.80	-2788.20	36583.00	-3230.60
NQH26	Long	2025-12-18  10:55:13.121	2025-12-18  11:39:45.622	25383.50	25386.00	1	8	8	45.80	33840.60	AT_NQ_TM(D-R-2+last50)	8	6	00:44:32	4.20	25412.50	25360.00	6.0%	0.0%	35981.60	39465.00	-2465.00	580.00	-470.00	0.1%	V_sim16	33840.60	-2788.20	36628.80	-3230.60
NQH26	Long	2025-12-18  11:06:08.770	2025-12-18  11:39:45.622	25390.00	25386.00	1	8	6	-84.20	33756.40	AT_NQ_TM(D-R-2+last50)	8	5	00:33:36	4.20	25412.50	25381.00	4.4%	0.0%	35897.40	38475.00	-1860.00	450.00	-180.00	-0.2%	V_sim16	33840.60	-2788.20	36628.80	-3230.60
NQH26	Long	2025-12-18  11:06:08.770	2025-12-18  11:51:06.245	25390.00	25385.00	2	8	8	-208.40	33548.00	AT_NQ_TM(D-R-2+last50)	8	3	00:44:57	8.40	25412.50	25381.00	4.8%	0.0%	35689.00	39375.00	-2220.00	900.00	-360.00	-0.5%	V_sim16	33840.60	-2788.20	36628.80	-3230.60
NQH26	Long	2025-12-18  11:36:06.114	2025-12-18  11:51:06.245	25385.50	25385.00	1	8	6	-14.20	33533.80	AT_NQ_TM(D-R-2+last50)	8	2	00:15:00	4.20	25404.25	25381.00	3.8%	7.1%	35674.80	38850.00	-1570.00	375.00	-90.00	-0.0%	V_sim16	33840.60	-2788.20	36628.80	-3230.60
NQH26	Long	2025-12-18  11:36:06.114	2025-12-18  11:56:44.980	25385.50	25383.75	2	8	8	-78.40	33455.40	AT_NQ_TM(D-R-2+last50)	8	6	00:20:38	8.40	25412.00	25381.00	4.0%	7.1%	35596.40	39910.00	-1750.00	1060.00	-180.00	-0.2%	V_sim16	33840.60	-2788.20	36628.80	-3230.60
NQH26	Long	2025-12-18  11:52:36.356	2025-12-18  11:56:44.980	25400.50	25383.75	1	8	3	-339.20	33116.20	AT_NQ_TM(D-R-2+last50)	5	5	00:04:08	4.20	25412.00	25383.75	0.5%	3.1%	35257.20	37305.00	-515.00	230.00	-335.00	-0.9%	V_sim16	33840.60	-2788.20	36628.80	-3230.60
NQH26	Long	2025-12-18  11:52:36.356	2025-12-18  12:00:18.524	25400.50	25378.25	2	8	5	-898.40	32217.80	AT_NQ_TM(D-R-2+last50)	5	3	00:07:42	8.40	25412.00	25378.25	1.3%	3.1%	34358.80	37765.00	-1405.00	460.00	-890.00	-2.3%	V_sim16	33840.60	-2788.20	36628.80	-3230.60
