ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	PositionQuantity	OrderActionSource	InternalOrderID	OpenClose	IsAutomated	Symbol	ParentInternalOrderID	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username
Orders	2025-12-18  02:26:26.437599	2025-12-18  02:26:26.437598	36782689	Market	3	Filled	V_sim16	Buy			25039.00	3	AT_NQ_TM(D-R-2+last50)		Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 25038.00 Ask: 25039.00 Last: 25038.75. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091480	Open	Y	NQH26		36782689.1			0.00	36782689	20091480.72570	Good till Canceled	shimishon
Positions	2025-12-18  02:26:26.437612	00:00:00.000000			3	Unspecified	V_sim16							3	Updated Internal Position Quantity to 3. Previous: 0. Fill of InternalOrderID: 20091480			N	NQH26					0.00				
Fills	2025-12-18  02:26:26.437618	2025-12-18  02:26:26.539000	36782689	Market	3	Filled	V_sim16	Buy			25039.00	3	AT_NQ_TM(D-R-2+last50)	3	Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 25038.00 Ask: 25039.00 Last: 25038.75. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091480	Open	Y	NQH26		36782689.1			0.00	36782689	20091480.72570	Good till Canceled	shimishon
Positions	2025-12-18  02:26:26.437821	00:00:00.000000				Unspecified	V_sim16							3	Updated Service Position Quantity to 3			N	NQH26					0.00				
Orders	2025-12-18  02:26:26.500256	2025-12-18  02:26:26.500250		Stop Limit	3	Order Sent	V_sim16	Sell	25017.75	25007.75			AT_NQ_TM(D-R-2+last50)	3	Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | SellEntry | AT_NQ_TM(D-R-2+last50) | Bar start date-time: 2025-12-18  02:24:00.000 | Last: 25038.75 | Scaling out | AOE=false | AOU=false	20091490	Close	Y	NQH26					0.00			Good till Canceled	
Orders	2025-12-18  02:26:26.500638	2025-12-18  02:26:26.500634		Limit	1	Order Sent	V_sim16	Sell	25044.25				AT_NQ_TM(D-R-2+last50)	3	Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | SellEntry | AT_NQ_TM(D-R-2+last50) | Bar start date-time: 2025-12-18  02:24:00.000 | Last: 25038.75 | Scaling out | AOE=false | AOU=false	20091491	Close	Y	NQH26					0.00			Good till Canceled	
Orders	2025-12-18  02:26:26.500768	2025-12-18  02:26:26.500765		Limit	1	Order Sent	V_sim16	Sell	25050.50				AT_NQ_TM(D-R-2+last50)	3	Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | SellEntry | AT_NQ_TM(D-R-2+last50) | Bar start date-time: 2025-12-18  02:24:00.000 | Last: 25038.75 | Scaling out | AOE=false | AOU=false	20091492	Close	Y	NQH26					0.00			Good till Canceled	
Orders	2025-12-18  02:26:26.500894	2025-12-18  02:26:26.500891		Limit	1	Order Sent	V_sim16	Sell	25090.50				AT_NQ_TM(D-R-2+last50)	3	Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | SellEntry | AT_NQ_TM(D-R-2+last50) | Bar start date-time: 2025-12-18  02:24:00.000 | Last: 25038.75 | Scaling out | AOE=false | AOU=false	20091493	Close	Y	NQH26					0.00			Good till Canceled	
Orders	2025-12-18  02:26:26.748831	2025-12-18  02:26:26.748829	36782699	Stop Limit	3	Pending Open	V_sim16	Sell	25017.75	25007.75			AT_NQ_TM(D-R-2+last50)	3	Trading Evaluator (New). Info: Order from DTC client #32128. Sierra Chart. 93.173.105.113 | Client text: Tag: AT_NQ_TM(D-R-2+last50). Text: Tag: AT_NQ_TM(D-R-2+last50)	20091490	Close	Y	NQH26					0.00		20091490.98585	Good till Canceled	shimishon
Orders	2025-12-18  02:26:26.748847	2025-12-18  02:26:26.748846	36782699	Stop Limit	3	Open	V_sim16	Sell	25017.75	25007.75			AT_NQ_TM(D-R-2+last50)	3	Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091490	Close	Y	NQH26					0.00	36782699	20091490.98585	Good till Canceled	shimishon
