ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	OrderActionSource	InternalOrderID	Symbol	OpenClose	ParentInternalOrderID	PositionQuantity	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username	IsAutomated
Orders	2025-12-04  16:50:13.111229	2025-12-04  16:50:13.111222		Limit	1	Order Sent	IPS_TM_5dupli	Sell	59.9199987				AutoTrader_	Auto-trade: CLF26 [CBV]  500 Volume #5 | Autotrader V1.3 | SellEntry | AutoTrader_ | Bar start date-time: 2025-12-04  11:50:02.511 | Last: 59.87 | Scaling out | AOE=false | AOU=false	19817677	CLF26	Close		3				0.00			Good till Canceled		Y
Orders	2025-12-04  16:50:13.111512	2025-12-04  16:50:13.111507		Limit	1	Order Sent	IPS_TM_5dupli	Sell	59.9799987				AutoTrader_	Auto-trade: CLF26 [CBV]  500 Volume #5 | Autotrader V1.3 | SellEntry | AutoTrader_ | Bar start date-time: 2025-12-04  11:50:02.511 | Last: 59.87 | Scaling out | AOE=false | AOU=false	19817678	CLF26	Close		3				0.00			Good till Canceled		Y
Orders	2025-12-04  16:50:13.111771	2025-12-04  16:50:13.111767		Limit	1	Order Sent	IPS_TM_5dupli	Sell	65.3399985				AutoTrader_	Auto-trade: CLF26 [CBV]  500 Volume #5 | Autotrader V1.3 | SellEntry | AutoTrader_ | Bar start date-time: 2025-12-04  11:50:02.511 | Last: 59.87 | Scaling out | AOE=false | AOU=false	19817679	CLF26	Close		3				0.00			Good till Canceled		Y
Orders	2025-12-04  16:50:13.145017	2025-12-04  16:50:13.145000	19861946	Stop Limit	3	Pending Open	IPS_TM_5dupli	Sell	59.7599987	59.3599987			AutoTrader_	Order update (New). Info: Order from DTC client #5. Sierra Chart. 127.0.0.1 | Client text: Tag: AutoTrader_. Text: Tag: AutoTrader_	19817676	CLF26	Close		3				0.00		19817676.45275	Good till Canceled	shimishon	Y
Orders	2025-12-04  16:50:13.145172	2025-12-04  16:50:13.145168	19861947	Limit	1	Pending Open	IPS_TM_5dupli	Sell	59.9199987				AutoTrader_	Order update (New). Info: Order from DTC client #5. Sierra Chart. 127.0.0.1 | Client text: Tag: AutoTrader_. Text: Tag: AutoTrader_	19817677	CLF26	Close		3				0.00		19817677.14185	Good till Canceled	shimishon	Y
Orders	2025-12-04  16:50:13.145220	2025-12-04  16:50:13.145217	19861948	Limit	1	Pending Open	IPS_TM_5dupli	Sell	59.9799987				AutoTrader_	Order update (New). Info: Order from DTC client #5. Sierra Chart. 127.0.0.1 | Client text: Tag: AutoTrader_. Text: Tag: AutoTrader_	19817678	CLF26	Close		3				0.00		19817678.82164	Good till Canceled	shimishon	Y
Orders	2025-12-04  16:50:13.145258	2025-12-04  16:50:13.145255	19861949	Limit	1	Pending Open	IPS_TM_5dupli	Sell	65.3399985				AutoTrader_	Order update (New). Info: Order from DTC client #5. Sierra Chart. 127.0.0.1 | Client text: Tag: AutoTrader_. Text: Tag: AutoTrader_	19817679	CLF26	Close		3				0.00		19817679.49139	Good till Canceled	shimishon	Y
Orders	2025-12-04  16:50:13.317285	2025-12-04  16:50:13.317281	19861946	Stop Limit	3	Open	IPS_TM_5dupli	Sell	59.7599987	59.3599987			AutoTrader_	Order update (Order update). Info: Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	19817676	CLF26	Close		3				0.00	36368244	19817676.45275	Good till Canceled	shimishon	Y
Orders	2025-12-04  16:50:13.317301	2025-12-04  16:50:13.317300	19861947	Limit	1	Open	IPS_TM_5dupli	Sell	59.9199987				AutoTrader_	Order update (Order update). Info: Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	19817677	CLF26	Close		3				0.00	36368245	19817677.14185	Good till Canceled	shimishon	Y
Orders	2025-12-04  16:50:13.468169	2025-12-04  16:50:13.468158	19861948	Limit	1	Open	IPS_TM_5dupli	Sell	59.9799987				AutoTrader_	Order update (Order update). Info: Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	19817678	CLF26	Close		3				0.00	36368246	19817678.82164	Good till Canceled	shimishon	Y
