Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Duration	Commission (C)	High Price While Open	Low Price While Open	Exit Efficiency	Account	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Note	Total Efficiency	Open Position Quantity	Close Position Quantity	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
CLF26	Long	2025-12-03  09:14:24.000 BP	2025-12-03  09:20:14.000	59.05	59.12	1	2	1	65.80	-3354.00	00:05:50	4.20	59.12	59.03	95.3%	IPS_TM_5dupli	100.0%	65.80	70.00	-20.00	70.00	-20.00	AutoTrader_	73.1%	2	1	0.00	-3419.80	257.40	-3419.80
CLF26	Long	2025-12-03  09:14:24.000	2025-12-03  09:23:11.000 EP	59.05	59.08	1	2	2	25.80	-3328.20	00:08:47	4.20	59.15	59.03	31.3%	IPS_TM_5dupli	100.0%	91.60 F	170.00	-40.00	100.00	-20.00	AutoTrader_	12.3%	2	0	0.00	-3419.80	257.40	-3419.80
CLF26	Short	2025-12-03  09:23:11.000 BP	2025-12-03  09:28:54.000	59.08	59.16	1	6	1	-84.20	-3412.40	00:05:43	4.20	59.17	59.05	4.8%	IPS_TM_5dupli	0.0%	-84.20	30.00	-90.00	30.00	-90.00	AutoTrader_	-70.2%	1	5	0.00	-3419.80	257.40	-3419.80
CLF26	Short	2025-12-03  09:23:11.000	2025-12-03  09:28:54.000	59.08	59.16	2	6	3	-168.40	-3580.80	00:05:43	8.40	59.17	59.05	28.2%	IPS_TM_5dupli	0.0%	-252.60	90.00	-270.00	60.00	-180.00	AutoTrader_	-46.8%	3	3	0.00	-3580.80	257.40	-3580.80
CLF26	Short	2025-12-03  09:23:11.000	2025-12-03  09:28:54.000	59.08	59.17	2	6	5	-188.40	-3769.20	00:05:43	8.40	59.17	59.05	43.6%	IPS_TM_5dupli	0.0%	-441.00	150.00	-450.00	60.00	-180.00	AutoTrader_	-31.4%	6	1	0.00	-3769.20	257.40	-3769.20
CLF26	Short	2025-12-03  09:23:11.000	2025-12-03  09:45:54.000	59.08	59.17	1	4	6	-94.20	-3863.40	00:22:43	4.20	59.30	59.05	67.7%	IPS_TM_5dupli	0.0%	-535.20	180.00	-670.00	30.00	-220.00	AutoTrader_	-11.1%	6	3	0.00	-3863.40	257.40	-3863.40
CLF26	Short	2025-12-03  09:34:58.000	2025-12-03  09:50:56.000	59.24	59.20	2	4	3	71.60	-3791.80	00:15:58	8.40	59.30	59.14	84.0%	IPS_TM_5dupli	100.0%	-463.60	230.00	-760.00	200.00	-120.00	AutoTrader_	7.2%	4	1	0.00	-3863.40	257.40	-3863.40
CLF26	Short	2025-12-03  09:34:58.000	2025-12-03  10:03:48.000	59.24	59.25	1	4	4	-14.20	-3806.00	00:28:50	4.20	59.30	59.13	69.5%	IPS_TM_5dupli	100.0%	-477.80	340.00	-820.00	110.00	-60.00	AutoTrader_	-1.2%	4	3	0.00	-3863.40	257.40	-3863.40
CLF26	Short	2025-12-03  10:02:03.000	2025-12-03  10:03:48.000	59.16	59.25	2	4	3	-188.40	-3994.40	00:01:45	8.40	59.25	59.13	57.3%	IPS_TM_5dupli	44.0%	-666.20	170.00	-670.00	60.00	-180.00	AutoTrader_	-22.4%	4	1	0.00	-3994.40	257.40	-3994.40
CLF26	Short	2025-12-03  10:02:03.000	2025-12-03  10:11:42.000	59.16	59.25	1	4	4	-94.20	-4088.60	00:09:39	4.20	59.27	59.13	70.0%	IPS_TM_5dupli	44.0%	-760.40	200.01	-780.00	30.00	-110.00	AutoTrader_	-9.6%	4	3	0.00	-4088.60	257.40	-4088.60
