account,date,total_raw_fills,ghost_fills_dropped,bypass_mode_active,note_coverage_rate,dirty_trades,dirty_net,dirty_wins,clean_trades,clean_net,clean_wins,pnl_delta,pnl_delta_pct,flagged_for_review,flag_reason
PB_1,2024-08-06,157,0,0,0.783,131,-16100.0,46,131,-16100.0,46,0.0,0.0,0,
PB_2,2024-08-06,223,0,0,0.848,177,10475.0,81,177,10475.0,81,0.0,0.0,0,
PB_3,2024-08-06,197,0,0,0.99,104,-10025.0,33,104,-10025.0,33,0.0,0.0,0,
T-S_production,2024-08-06,293,34,0,0.648,185,-2562.5,106,188,-32825.0,109,-30262.5,11.8098,1,"delta=-30,262 (1181% of dirty_net)"
TM_1,2024-08-06,34,13,1,0.0,21,9625.0,14,10,23800.0,9,14175.0,1.4727,1,"delta=+14,175 (147% of dirty_net)"
TM_10,2024-08-06,177,67,1,0.0,110,-31375.0,69,68,130000.0,56,161375.0,5.1434,1,"delta=+161,375 (514% of dirty_net)"
TM_11,2024-08-06,26,3,0,0.692,13,-4080.0,2,11,-6610.0,2,-2530.0,0.6201,1,"delta=-2,530 (62% of dirty_net)"
TM_2,2024-08-06,154,56,1,0.0,98,-2425.0,64,48,-29425.0,24,-27000.0,11.134,1,"delta=-27,000 (1113% of dirty_net)"
TM_3,2024-08-06,48,0,0,1.0,28,-2550.0,18,28,-2550.0,18,0.0,0.0,0,
TM_5,2024-08-06,188,0,0,0.766,104,-21125.0,34,104,-21125.0,34,0.0,0.0,0,
TM_6,2024-08-06,46,0,0,1.0,28,-15350.0,15,28,-15350.0,15,0.0,0.0,0,
TM_7,2024-08-06,95,0,0,0.968,61,17550.0,43,61,17550.0,43,0.0,0.0,0,
TM_8,2024-08-06,161,2,0,0.758,93,-8425.0,36,128,8075.0,49,16500.0,1.9585,1,"delta=+16,500 (196% of dirty_net)"
TM_9,2024-08-06,142,56,1,0.0,86,-3400.0,49,52,111625.0,42,115025.0,33.8309,1,"delta=+115,025 (3383% of dirty_net)"
TM_D-R-1_1,2024-08-06,150,2,0,0.987,103,320.0,87,99,-12745.0,69,-13065.0,26.13,1,"delta=-13,065 (2613% of dirty_net)"
TM_D-R-1_2,2024-08-06,134,2,0,0.94,112,14490.0,75,109,1425.0,64,-13065.0,0.9017,1,"delta=-13,065 (90% of dirty_net)"
TM_U-D-1_1,2024-08-06,603,8,0,0.897,397,-20250.0,251,434,-29955.0,220,-9705.0,0.4793,1,"delta=-9,705 (48% of dirty_net)"
TS_2,2024-08-06,24,0,0,1.0,16,12075.0,12,16,12075.0,12,0.0,0.0,0,
TS_3,2024-08-06,44,1,0,0.864,28,-325.0,18,27,11165.0,13,11490.0,22.98,1,"delta=+11,490 (2298% of dirty_net)"
TS_4,2024-08-06,94,1,0,0.915,81,-16025.0,31,79,-6125.0,32,9900.0,0.6178,1,"delta=+9,900 (62% of dirty_net)"
TS_5,2024-08-06,122,0,0,0.992,66,-5775.0,28,66,-5775.0,28,0.0,0.0,0,
TS_6,2024-08-06,97,0,0,0.959,61,-9650.0,39,61,-9650.0,39,0.0,0.0,0,
TS_7,2024-08-06,6,0,0,1.0,4,950.0,3,4,950.0,3,0.0,0.0,0,
Tsufim-Prod,2024-08-06,68,19,0,0.353,40,-5825.0,22,30,8125.0,19,13950.0,2.3948,1,"delta=+13,950 (239% of dirty_net)"
V500_sim10,2024-08-06,1202,45,0,0.726,802,-33390.0,72,790,486937.5,132,520327.5,15.5833,1,"delta=+520,328 (1558% of dirty_net)"
ES-IPS_TM_11,2024-08-07,287,10,0,0.882,159,-9262.5,47,167,124762.5,103,134025.0,14.4696,1,"delta=+134,025 (1447% of dirty_net)"
ES-IPS_TM_12,2024-08-07,83,1,0,0.964,46,-4012.5,12,46,-2437.5,16,1575.0,0.3925,1,"delta=+1,575 (39% of dirty_net)"
ES-IPS_TM_13,2024-08-07,42,0,0,0.905,28,4912.5,21,28,4912.5,21,0.0,0.0,0,
ES-IPS_TM_5dupl,2024-08-07,259,2,0,0.903,162,-3000.0,103,159,33175.0,109,36175.0,12.0583,1,"delta=+36,175 (1206% of dirty_net)"
ES-IPS_TM_8,2024-08-07,712,19,0,0.92,388,-8562.5,172,423,196625.0,234,205187.5,23.9635,1,"delta=+205,188 (2396% of dirty_net)"
ES-PB_1,2024-08-07,261,2,0,0.824,210,-3850.0,92,206,21625.0,122,25475.0,6.6169,1,"delta=+25,475 (662% of dirty_net)"
ES-TM_1,2024-08-07,132,51,1,0.0,76,-3812.5,31,48,6637.5,28,10450.0,2.741,1,"delta=+10,450 (274% of dirty_net)"
ES-TM_2,2024-08-07,214,79,1,0.0,133,-4362.5,90,83,-82912.5,22,-78550.0,18.0057,1,"delta=-78,550 (1801% of dirty_net)"
ES-TM_7,2024-08-07,302,1,0,0.93,188,-662.5,122,185,12662.5,114,13325.0,20.1132,1,"delta=+13,325 (2011% of dirty_net)"
ES-TS_2,2024-08-07,124,0,0,0.903,83,-150.0,58,83,-150.0,58,0.0,0.0,0,
ES-TS_3,2024-08-07,68,0,0,0.853,44,2062.5,30,44,2062.5,30,0.0,0.0,0,
ES-TS_4,2024-08-07,445,108,0,0.447,265,-1812.5,123,153,-256175.0,58,-254362.5,140.3379,1,"delta=-254,362 (14034% of dirty_net)"
ES-TS_5,2024-08-07,257,2,0,0.914,169,6100.0,111,158,-17000.0,59,-23100.0,3.7869,1,"delta=-23,100 (379% of dirty_net)"
ES-TS_6,2024-08-07,267,7,0,0.895,175,350.0,142,170,-24112.5,84,-24462.5,48.925,1,"delta=-24,462 (4892% of dirty_net)"
ES-TS_7,2024-08-07,12,0,0,0.833,8,6987.5,6,8,6987.5,6,0.0,0.0,0,
ES_PB_2,2024-08-07,386,6,0,0.899,228,-7062.5,112,218,-2187.5,106,4875.0,0.6903,1,"delta=+4,875 (69% of dirty_net)"
ES_PB_3,2024-08-07,365,4,0,0.929,204,-4062.5,103,203,-24112.5,87,-20050.0,4.9354,1,"delta=-20,050 (494% of dirty_net)"
IPSPB1,2024-08-07,13,0,0,1.0,7,-6100.0,1,7,-6100.0,1,0.0,0.0,0,
IPSTMUD1,2024-08-07,33,0,0,0.939,21,2550.0,14,21,2550.0,14,0.0,0.0,0,
IPS_TM_10,2024-08-07,137,0,0,0.854,83,1050.0,48,83,1050.0,48,0.0,0.0,0,
IPS_TM_11,2024-08-07,93,0,0,0.925,55,-4550.0,27,55,-4550.0,27,0.0,0.0,0,
IPS_TM_12,2024-08-07,16,0,0,1.0,10,2375.0,6,10,2375.0,6,0.0,0.0,0,
IPS_TM_13,2024-08-07,13,0,0,1.0,7,-6100.0,1,7,-6100.0,1,0.0,0.0,0,
IPS_TM_3,2024-08-07,53,0,0,0.943,30,4175.0,13,30,4175.0,13,0.0,0.0,0,
IPS_TM_5,2024-08-07,229,0,0,0.852,130,-2675.0,67,130,-2675.0,67,0.0,0.0,0,
IPS_TM_5dupli,2024-08-07,118,0,0,0.898,72,2350.0,43,72,2350.0,43,0.0,0.0,0,
IPS_TM_6,2024-08-07,54,0,0,0.963,31,3900.0,13,31,3900.0,13,0.0,0.0,0,
IPS_TM_7,2024-08-07,57,0,0,0.982,33,400.0,16,33,400.0,16,0.0,0.0,0,
IPS_TM_8,2024-08-07,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0,
PB_1,2024-08-07,115,0,0,0.843,67,1325.0,36,67,1325.0,36,0.0,0.0,0,
PB_2,2024-08-07,195,0,0,0.867,163,-8325.0,64,163,-8325.0,64,0.0,0.0,0,
PB_3,2024-08-07,173,0,0,0.988,92,-15000.0,30,92,-15000.0,30,0.0,0.0,0,
T-S_production,2024-08-07,299,23,0,0.722,182,-9862.5,99,199,-30787.5,92,-20925.0,2.1217,1,"delta=-20,925 (212% of dirty_net)"
TM_1,2024-08-07,33,15,1,0.0,18,-1700.0,6,10,-6100.0,3,-4400.0,2.5882,1,"delta=-4,400 (259% of dirty_net)"
TM_11,2024-08-07,27,0,0,0.963,14,-3260.0,3,14,-3260.0,3,0.0,0.0,0,
TM_2,2024-08-07,108,38,1,0.0,69,-875.0,47,33,41850.0,18,42725.0,48.8286,1,"delta=+42,725 (4883% of dirty_net)"
TM_3,2024-08-07,52,0,0,0.962,30,3300.0,12,30,3300.0,12,0.0,0.0,0,
